Smooth: False
name;tag;layer;x;y;z;rotX;rotY;rotZ;waypointType;speed;acceleration;jerk;causeToYield;lookAtPlayerWhileYielding;lookAtPlayerAfterYielding;yieldTime;brakingAcceleration;lookAtPedFromSeconds;lookAtPedToSeconds;collider_enabled;isTrigger;centerX;centerY;centerZ;sizeX;sizeY;sizeZ
Waypoint 000;WP;5;11.3;0;-87.2;0;0;0;1;1;0.01;5;False;False;True;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 001;WP;5;11.3;0;-85.2;0;0;0;1;50;1;1;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 002;WP;5;12.31;0;52.2;0;0;0;1;30;-5;-10;False;False;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 003;WP;5;12.2;0;75.1;0;0;0;1;30;-2;-5;False;False;False;0;-5;0;0;False;True;0;1;0;4.25;4;0
Waypoint 004;WP;5;11.87;0;87.81;0;352;0;1;25;-1;-2;False;False;False;0;-2;0;0;False;True;0;1;0;4.25;4;0
Waypoint 005;WP;5;10.08;0;96.73;0;340;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 006;WP;5;7.41;0;104.06;0;332;0;1;20;2;5;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 007;WP;5;3.77;0;110.32;0;323;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 008;WP;5;-0.36;0;115.8;0;323;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 009;WP;5;-6.43;0;121.54;0;323;0;1;10;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 010;WP;5;-13.29;0;127.21;0;297;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 011;WP;5;-22.71;0;131.15;0;297;0;1;5;-2;-6;False;False;False;0;-20;0;0;False;True;0;1;0;4.25;4;0
Waypoint 012;WP;5;-28.6;0;133.34;0;270;0;1;30;1;2;False;True;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 013;WP;5;-42.99;0;135.17;0;270;0;1;30;1;2;False;True;False;0;-20;0;0;True;True;0;1;0;4.25;4;0
Waypoint 014;WP;5;-89.9;0;135;0;270;0;1;10;-2;-5;False;False;False;0;-5;0;0;True;True;0;1;0;4.25;4;0
Waypoint 015;WP;5;-96.9;0;135;0;270;0;1;10;-1;-2;False;False;False;0;-5;0;0;True;True;0;1;0;4.25;4;0
